Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,Road User,Gender,Age,Christmas Period,Easter Period,Age Group,Day of week,Time of day
20143059,Qld,11,2014,Sunday,19:00,Single,No,No,No,60,Motorcycle rider,Male,21,No,No,17_to_25,Weekend,Night
20211046,NSW,8,2021,Saturday,0:05,Single,No,No,No,100,Driver,Male,20,No,No,17_to_25,Weekend,Night
19932099,Vic,1,1993,Friday,21:15,Single,No,No,No,100,Driver,Male,47,Yes,No,40_to_64,Weekend,Night
20111021,NSW,4,2011,Thursday,17:17,Single,No,No,No,70,Pedestrian,Female,54,No,No,40_to_64,Weekday,Day
20161025,NSW,2,2016,Thursday,19:00,Single,No,No,No,70,Motorcycle rider,Male,45,No,No,40_to_64,Weekday,Night
20191269,NSW,12,2019,Thursday,23:20,Single,No,No,No,100,Driver,Male,28,No,No,26_to_39,Weekday,Night
19962031,Vic,12,1996,Wednesday,18:50,Multiple,No,No,No,60,Driver,Male,72,No,No,65_to_74,Weekday,Night
20104043,SA,10,2010,Friday,20:00,Single,No,No,No,100,Passenger,Male,52,No,No,40_to_64,Weekend,Night
19942061,Vic,7,1994,Saturday,15:10,Multiple,No,No,No,100,Pedal cyclist,Male,43,No,No,40_to_64,Weekend,Day
19912233,Vic,3,1991,Thursday,11:05,Single,No,No,No,60,Pedestrian,Female,65,No,No,65_to_74,Weekday,Day
20143111,Qld,11,2014,Saturday,13:00,Multiple,No,No,No,90,Driver,Female,33,No,No,26_to_39,Weekend,Day
20065004,WA,6,2006,Wednesday,2:30,Multiple,No,No,Yes,60,Pedestrian,Male,22,No,No,17_to_25,Weekday,Night
20131187,NSW,9,2013,Sunday,14:35,Single,No,No,No,100,Passenger,Male,37,No,No,26_to_39,Weekend,Day
20021101,NSW,9,2002,Friday,9:05,Multiple,No,No,Yes,100,Driver,Male,75,No,No,75_or_older,Weekday,Day
20064070,SA,12,2006,Friday,16:15,Multiple,No,No,No,110,Passenger,Female,45,No,No,40_to_64,Weekday,Day
20082205,Vic,7,2008,Monday,12:00,Multiple,No,Yes,No,70,Driver,Male,39,No,No,26_to_39,Weekday,Day
20153200,Qld,4,2015,Thursday,16:00,Single,No,No,No,80,Driver,Male,75,No,No,75_or_older,Weekday,Day
20063197,Qld,4,2006,Friday,13:00,Single,No,No,No,100,Passenger,Male,26,No,No,26_to_39,Weekday,Day
20065137,WA,9,2006,Sunday,4:14,Single,No,No,No,70,Driver,Male,18,No,No,17_to_25,Weekend,Night
20072229,Vic,2,2007,Saturday,4:00,Multiple,No,No,Yes,100,Passenger,Male,30,No,No,26_to_39,Weekend,Night
20205006,WA,4,2020,Wednesday,10:01,Multiple,No,No,No,60,Driver,Female,83,No,No,75_or_older,Weekday,Day
20012128,Vic,1,2001,Tuesday,22:50,Multiple,No,No,Yes,100,Driver,Male,21,No,No,17_to_25,Weekday,Night
19892287,Vic,4,1989,Saturday,5:25,Multiple,No,No,No,100,Motorcycle rider,Male,25,No,No,17_to_25,Weekend,Night
20075022,WA,11,2007,Thursday,9:20,Multiple,No,No,Yes,110,Driver,Male,50,No,No,40_to_64,Weekday,Day
20192241,Vic,10,2019,Sunday,5:40,Single,No,No,No,100,Driver,Male,27,No,No,26_to_39,Weekend,Night
